iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,0.095,385.8956,1.4007,0.0148,7.2674,35.6399,702.1818,84964,-0.016958745196461678,-0.6008282899856567,0.9070000052452087,0.9070000052452087,0.9070000052452087,0.24799999594688416
1,385.8956,385.8956,2.118,0.0204,12.624,42.1524,648.6777,163454,0.039461083710193634,0.7603503465652466,0.9524000287055969,0.9524000287055969,0.9524000287055969,0.8335000276565552
2,385.8956,437.8037,1.9742,0.0174,14.296,55.3807,692.9008,247295,0.039461083710193634,0.7603503465652466,0.8637999892234802,0.8637999892234802,0.8637999892234802,-0.3375000059604645
3,437.8037,522.7229,14.0721,0.0273,73.2009,119.5446,574.8926,316857,0.09396742284297943,3.590012550354004,0.7835000157356262,0.7835000157356262,0.7835000157356262,-1.5084999799728394
4,522.7229,639.1864,3.5803,0.0226,90.9524,155.3213,742.1405,406656,0.1191549301147461,3.2110495567321777,0.7106999754905701,0.7106999754905701,0.7106999754905701,-2.6793999671936035
5,639.1864,639.1864,12.4003,0.0324,141.6434,194.3699,549.0083,473086,-0.050284773111343384,4.394060134887695,0.7462000250816345,0.7462000250816345,0.7462000250816345,-2.0940001010894775
6,639.1864,643.4949,7.0552,0.0253,159.4682,210.2133,625.1157,548725,-0.050284773111343384,4.394060134887695,0.676800012588501,0.676800012588501,0.676800012588501,-3.264899969100952
7,643.4949,643.4949,117.1835,0.0545,226.1323,238.9737,714.3306,635159,0.26125189661979675,5.206899642944336,0.7106999754905701,0.7106999754905701,0.7106999754905701,-2.6793999671936035
8,643.4949,643.4949,55.6263,0.0038,228.0683,246.6208,665.4132,715674,0.26125189661979675,5.206899642944336,0.7462000250816345,0.7462000250816345,0.7462000250816345,-2.0940001010894775
9,643.4949,643.4949,120.0994,0.0109,232.077,244.8688,669.4463,796677,0.26125189661979675,5.206899642944336,0.7835000157356262,0.7835000157356262,0.7835000157356262,-1.5084999799728394
